Year,Brand,Model,driven ,owners,fuel,prices,car type
2021,Maruti,S,9845,1,PETROL,1040000,SUV
2014,Ford,Ecosport,39106,1,PETROL,462000,SUV
2015,Nissan,Terrano,86058,2,DIESEL,488000,SUV
2015,Mahindra,XUV500,65690,2,DIESEL,731000,SUV
2019,KIA,SELTOS,13171,1,PETROL,1406000,SUV
2017,RENAULT,CAPTUR,39387,1,DIESEL,765000,SUV
2016,Maruti,Ertiga,42074,1,PETROL,740000,SUV
2018,Honda,WR-V,13378,1,PETROL,698000,SUV
2016,Hyundai,Creta,48038,1,PETROL,790000,SUV
2020,Tata,Hexa,10032,1,DIESEL,1600000,SUV
2016,HYUNDAI,CRETA,88149,1,DIESEL,926000,SUV
2020,HYUNDAI,CRETA,59752,1,DIESEL,1586000,SUV
2018,Mahindra,XUV500,45996,2,DIESEL,1304000,SUV
2016,RENAULT,DUSTER,72781,1,DIESEL,690000,SUV
2017,Honda,WR-V,98264,2,DIESEL,681000,SUV
2020,HYUNDAI,VENUE,36275,2,PETROL,1025000,SUV
2015,Renault,Duster,26361,1,DIESEL,586000,SUV
2021,MAHINDRA,THAR,7447,1,PETROL,1696000,SUV
2020,Maruti,S,52521,1,PETROL,1125000,SUV
2015,Renault,Duster,80913,1,DIESEL,536000,SUV
2021,Renault,Kiger,6463,1,PETROL,776000,SUV
2014,Ford,Ecosport,76883,2,DIESEL,495000,SUV
2020,KIA,SELTOS,7345,1,PETROL,1712000,SUV
2018,Tata,NEXON,58312,1,DIESEL,842000,SUV
2019,Hyundai,VENUE,14856,1,PETROL,954000,SUV
2018,Honda,WR-V,24329,1,PETROL,766000,SUV
2020,Maruti,VITARA,17210,1,PETROL,853000,SUV
2018,Maruti,Vitara,76185,2,DIESEL,732000,SUV
2015,HONDA,CRV,54873,2,PETROL,1073000,SUV
2016,Hyundai,Creta,52578,1,PETROL,813600,SUV
2018,HYUNDAI,CRETA,94177,1,PETROL,942000,SUV
2021,Mahindra,Thar,5043,1,PETROL,1712000,SUV
2019,Honda,WR-V,35696,2,PETROL,689000,SUV
2020,Maruti,S,28811,1,PETROL,1232000,SUV
2017,FORD,ECOSPORT,54120,2,DIESEL,584000,SUV
2017,Maruti,VITARA,38312,2,DIESEL,810000,SUV
2019,Maruti,Vitara,59189,1,DIESEL,924000,SUV
2015,RENAULT,DUSTER,59225,1,DIESEL,627000,SUV
2019,Ford,Ecosport,18014,2,CNG,853000,SUV
2021,Honda,WR-V,16075,1,DIESEL,1111000,SUV
2014,FORD,ECOSPORT,76517,2,DIESEL,521000,SUV
2020,KIA,SELTOS,17415,1,PETROL,1790000,SUV
2015,Hyundai,Creta,58313,1,DIESEL,965000,SUV
2021,Hyundai,VENUE,5763,1,PETROL,1218000,SUV
2020,Maruti,Vitara,55059,1,PETROL,924000,SUV
2020,Tata,NEXON,64461,1,DIESEL,1158000,SUV
2015,Hyundai,Creta,45313,2,PETROL,793000,SUV
2014,Ford,Ecosport,86574,1,DIESEL,545000,SUV
2015,HYUNDAI,CRETA,86667,1,DIESEL,985000,SUV
2017,FORD,ECOSPORT,56547,1,PETROL,658000,SUV
2019,Tata,NEXON,37130,1,DIESEL,1057000,SUV
2016,Hyundai,Creta,49224,1,PETROL,784000,SUV
2017,HYUNDAI,CRETA,50101,1,PETROL,927000,SUV
2020,MAHINDRA,KUV,15049,1,PETROL,725000,SUV
2021,Tata,NEXON,17657,1,PETROL,1024000,SUV
2019,FORD,ECOSPORT,7245,1,PETROL,858000,SUV
2021,Tata,Safari,15397,1,DIESEL,1925700,SUV
2020,Hyundai,VENUE,5111,1,PETROL,1208000,SUV
2017,Maruti,Ertiga,62199,1,PETROL,745000,SUV
2017,Maruti,Ertiga,20390,2,DIESEL,917000,SUV
2021,Tata,NEXON,48192,1,DIESEL,984000,SUV
2021,Hyundai,VENUE,16134,1,PETROL,999000,SUV
2018,Maruti,S,88522,2,DIESEL,695000,SUV
2016,Hyundai,Creta,86720,1,DIESEL,885000,SUV
2020,Hyundai,VENUE,21204,1,PETROL,816000,SUV
2016,Hyundai,Creta,56501,1,PETROL,716000,SUV
2017,HYUNDAI,CRETA,59784,1,PETROL,809000,SUV
2022,VOLKSWAGEN,TAIGUN,3686,1,PETROL,1501000,SUV
2017,FORD,ECOSPORT,32458,1,PETROL,633000,SUV
2012,RENAULT,DUSTER,79492,1,DIESEL,449000,SUV
2017,HYUNDAI,CRETA,87142,1,DIESEL,1048000,SUV
2018,Maruti,Vitara,62125,1,DIESEL,861000,SUV
2019,Hyundai,VENUE,34747,1,PETROL,864000,SUV
2012,Skoda,Rapid,63635,2,DIESEL,305000,Sedan
2012,HONDA,CITY,69952,2,PETROL,341000,Sedan
2017,Hyundai,Xcent,93519,1,DIESEL,451000,Sedan
2012,Honda,City,83141,1,PETROL,359000,Sedan
2016,TATA,ZEST,42556,1,PETROL,441000,Sedan
2016,Volkswagen,Ameo,94132,1,DIESEL,411000,Sedan
2019,Honda,Amaze,5550,1,PETROL,681000,Sedan
2012,Volkswagen,Vento,91552,2,DIESEL,359000,Sedan
2012,HONDA,CITY,87436,2,PETROL,369000,Sedan
2022,Honda,City,4995,1,PETROL,1356000,Sedan
2020,HYUNDAI,AURA,37554,1,CNG,773000,Sedan
2013,Maruti,SWIFT,55426,1,DIESEL,477000,Sedan
2019,HONDA,CIVIC,74611,1,PETROL,1389000,Sedan
2018,Hyundai,Verna,80978,2,PETROL,834000,Sedan
2015,Maruti,Ciaz,81778,1,PETROL,468000,Sedan
2016,Honda,City,61703,1,PETROL,783000,Sedan
2015,Honda,City,40516,1,PETROL,551000,Sedan
2016,Volkswagen,Ameo,64500,2,PETROL,410000,Sedan
2017,Hyundai,Verna,15504,1,PETROL,830000,Sedan
2015,Maruti,Ciaz,62006,2,DIESEL,548000,Sedan
2014,Honda,City,44256,1,PETROL,583000,Sedan
2014,Maruti,SWIFT,91114,1,DIESEL,552000,Sedan
2012,Maruti,Swift,41928,2,PETROL,353000,Sedan
2014,TOYOTA,COROLLA,68791,1,PETROL,615000,Sedan
2018,Hyundai,Verna,31909,1,PETROL,834000,Sedan
2018,Honda,City,20110,1,PETROL,841000,Sedan
2015,VOLKSWAGEN,VENTO,79100,1,PETROL,511000,Sedan
2018,Maruti,DZIRE,30432,1,PETROL,635000,Sedan
2016,HYUNDAI,VERNA,69372,1,PETROL,707400,Sedan
2019,Maruti,Ciaz,8290,1,PETROL,751000,Sedan
2017,Volkswagen,Vento,48379,2,PETROL,682000,Sedan
2020,SKODA,RAPID,47239,1,PETROL,816000,Sedan
2019,Hyundai,Verna,32226,2,PETROL,855000,Sedan
2016,Volkswagen,Vento,41472,2,PETROL,607000,Sedan
2019,Hyundai,VERNA,9567,1,PETROL,1066000,Sedan
2020,Honda,Civic,30097,1,PETROL,1807000,Sedan
2021,Hyundai,AURA,7695,1,CNG,831000,Sedan
2018,Honda,Amaze,29299,1,PETROL,619000,Sedan
2015,Skoda,RAPID,93813,1,DIESEL,623000,Sedan
2018,Maruti,CIAZ,81066,2,PETROL,728000,Sedan
2021,Maruti,CIAZ,9476,1,PETROL,1038000,Sedan
2013,Maruti,SWIFT,108979,1,PETROL,362000,Sedan
2014,Honda,City,80631,1,PETROL,590000,Sedan
2016,Honda,City,22630,1,PETROL,818000,Sedan
2018,Honda,City,34852,2,PETROL,921000,Sedan
2019,Honda,Civic,24520,1,PETROL,1834000,Sedan
2017,Honda,City,72309,1,PETROL,734000,Sedan
2018,Hyundai,Verna,47175,1,PETROL,813000,Sedan
2018,Hyundai,Verna,37086,1,PETROL,1009000,Sedan
2020,Maruti,Dzire,13150,1,PETROL,797000,Sedan
2020,Maruti,Dzire,25527,1,PETROL,705000,Sedan
2019,HONDA,CIVIC,14466,1,PETROL,1887000,Sedan
2018,Toyota,YARIS,70840,1,PETROL,714000,Sedan
2015,Honda,CITY,57821,1,PETROL,654000,Sedan
2020,Honda,City,51409,1,PETROL,1354000,Sedan
2015,Honda,City,66020,2,PETROL,625000,Sedan
2021,Volkswagen,Vento,18837,1,PETROL,1301000,Sedan
2021,SKODA,RAPID,7572,1,PETROL,1156000,Sedan
2020,Tata,TIGOR,33535,1,PETROL,639000,Sedan
2016,HONDA,CITY,60816,2,PETROL,733000,Sedan
2018,Honda,City,69971,1,PETROL,929000,Sedan
2017,Maruti,CIAZ,53494,1,PETROL,829000,Sedan
2018,Maruti,Dzire,13260,1,PETROL,657000,Sedan
2020,SKODA,RAPID,27997,1,PETROL,947000,Sedan
2021,Honda,Amaze,6773,1,PETROL,939000,Sedan
2018,Hyundai,Verna,42093,1,PETROL,875000,Sedan
2016,Hyundai,Verna,41188,1,PETROL,775000,Sedan
2020,Hyundai,AURA,24376,2,PETROL,763000,Sedan
2020,HYUNDAI,AURA,66908,1,CNG,784000,Sedan
2016,HONDA,CITY,44459,1,PETROL,741000,Sedan
2020,Tata,TIGOR,21173,1,PETROL,661000,Sedan
2021,Hyundai,Verna,8217,1,PETROL,1220000,Sedan
2019,Honda,Amaze,12246,1,PETROL,815000,Sedan
